100,quicksort,9
100,quicksort,7
100,quicksort,5
100,quicksort,4
100,quicksort,4
100,quicksort,4
100,quicksort,4
100,quicksort,4
100,quicksort,3
100,quicksort,3
100,bubblesort,36
100,bubblesort,36
100,bubblesort,35
100,bubblesort,34
100,bubblesort,34
100,bubblesort,34
100,bubblesort,34
100,bubblesort,43
100,bubblesort,34
100,bubblesort,61
100,mergesort,10
100,mergesort,7
100,mergesort,6
100,mergesort,5
100,mergesort,5
100,mergesort,5
100,mergesort,5
100,mergesort,5
100,mergesort,5
100,mergesort,5
1000,quicksort,139
1000,quicksort,136
1000,quicksort,132
1000,quicksort,130
1000,quicksort,129
1000,quicksort,128
1000,quicksort,126
1000,quicksort,126
1000,quicksort,126
1000,quicksort,124
1000,bubblesort,3696
1000,bubblesort,3647
1000,bubblesort,3672
1000,bubblesort,3659
1000,bubblesort,3670
1000,bubblesort,3675
1000,bubblesort,3563
1000,bubblesort,3564
1000,bubblesort,3436
1000,bubblesort,3384
1000,mergesort,108
1000,mergesort,103
1000,mergesort,101
1000,mergesort,100
1000,mergesort,99
1000,mergesort,98
1000,mergesort,107
1000,mergesort,98
1000,mergesort,97
1000,mergesort,98
10000,quicksort,1867
10000,quicksort,1820
10000,quicksort,1856
10000,quicksort,1832
10000,quicksort,1851
10000,quicksort,1831
10000,quicksort,1852
10000,quicksort,1827
10000,quicksort,1846
10000,quicksort,1842
10000,bubblesort,392674
10000,bubblesort,388929
10000,bubblesort,393089
10000,bubblesort,395237
10000,bubblesort,392434
10000,bubblesort,395132
10000,bubblesort,393852
10000,bubblesort,391021
10000,bubblesort,388431
10000,bubblesort,389809
10000,mergesort,1321
10000,mergesort,1347
10000,mergesort,1298
10000,mergesort,1315
10000,mergesort,1277
10000,mergesort,1331
10000,mergesort,1324
10000,mergesort,1335
10000,mergesort,1425
10000,mergesort,1445
